,Financial Year,Working Capital,Working Capital per Dollar of Sales,Current Ratio,Quick Current Ratio,Debt to Equity Ratio,Receivable Turnover,Average Age of Receivables,Inventory Turnover,Number of Days for Inventory to Turn
0,2022,-16543,-16543,0.8205709451398078,0.20693507451354692,2.078977220867615,1.4723307702004287,247.90624999999997,8.19642604638009,44.53160413265736
1,2021,-6309,-6309,0.9277972968333352,0.2810629556300713,1.837399252879776,1.651328502415459,221.03415490382505,7.59144237405107,48.08045454545454
2,2020,-2578,-2578,0.9721733498839656,0.48699875870257436,2.0384924312635158,2.0733578882750154,176.04293116210215,9.350931055195888,39.03354626886978
3,2019,-15984,-15984,0.7945237177015041,0.22330633757552384,2.0750646185163855,2.3680776575429663,154.13345877293193,8.88049960616631,41.10129116458231
4,2018,-15580,-15580,0.7989080630380629,0.2275255882390903,1.9264649084087397,1.0615947795639027,343.82233883058467,8.703630079739773,41.93652495062302
